Gene,Status,Pathways_Found
GCKR,Mapped,20
KHK,Mapped,20
YIPF4,Unmapped,0
ULK3,Mapped,20
MPI,Mapped,20
PEX6,Mapped,12
GNMT,Mapped,20
CNPY3,Mapped,20
PPP2R5D,Mapped,20
PTCRA,Mapped,4
SNX29P2,Unmapped,0
MED1,Mapped,20
CTB-131K11.1,Unmapped,0
PSMD3,Mapped,20
FBXL20,Mapped,20
THRA,Mapped,20
GSDMA,Mapped,16
NR1D1,Mapped,20
GSDMB,Unmapped,0
STAC2,Unmapped,0
CDK12,Mapped,20
CSF3,Mapped,20
ENOSF1,Unmapped,0
YES1,Mapped,20
STAG3,Mapped,4
ZCWPW1,Unmapped,0
PILRA,Mapped,15
FMO4,Unmapped,0
FMO3,Mapped,20
FMO2,Mapped,20
FMO1,Mapped,20
PRRC2C,Unmapped,0
DNM3,Mapped,20
ELMSAN1,Unmapped,0
RP11-552F3.10,Unmapped,0
FBF1,Mapped,20
TRIM65,Mapped,4
UNC13D,Mapped,20
TRIM47,Mapped,14
FADS6,Unmapped,0
TFR2,Mapped,18
RP11-597D13.9,Unmapped,0
SGPP1,Mapped,20
PNMA1,Unmapped,0
PMS2P1,Unmapped,0
NYAP1,Unmapped,0
IRF1,Mapped,15
TET3,Mapped,6
COPS6,Mapped,20
SAT2,Mapped,8
SOX15,Mapped,4
SENP3,Mapped,20
TNFSF12,Mapped,20
EIF4A1,Mapped,20
FXR2,Unmapped,0
SEC11A,Mapped,20
PYROXD2,Unmapped,0
HPS1,Mapped,20
FBN3,Mapped,12
AKR1C1,Mapped,20
AKR1C2,Mapped,20
ATPAF1,Unmapped,0
MKNK1-AS1,Unmapped,0
EFCAB14,Unmapped,0
ANK3,Mapped,20
AS3MT,Mapped,20
NT5C2,Mapped,20
C10orf32,Unmapped,0
PDCD11,Mapped,20
CYP17A1,Mapped,20
SUFU,Mapped,20
NOTO,Mapped,3
HMG20A,Unmapped,0
RP11-685G9.2,Unmapped,0
TSPAN3,Unmapped,0
RP5-1021I20.1,Unmapped,0
RP1-240K6.3,Unmapped,0
ENTPD5,Mapped,20
KMO,Mapped,20
STXBP1,Mapped,20
MOCOS,Mapped,20
CDK9,Mapped,20
FAM163B,Unmapped,0
HSD17B12,Mapped,20
PDAP1,Mapped,20
KRT10,Mapped,20
TMEM99,Unmapped,0
MED24,Mapped,20
CASC3,Mapped,20
NADKD1,Mapped,6
CAPN8,Mapped,10
BTD,Mapped,20
HACL1,Mapped,20
PCCB,Mapped,20
MSL2,Mapped,20
ENTPD7,Mapped,20
NDE1,Mapped,20
SCARNA5,Unmapped,0
CUTC,Mapped,3
ARG1,Mapped,20
MED23,Mapped,20
SFXN5,Unmapped,0
TPCN2,Mapped,20
NAT1,Mapped,20
PDGFRL,Unmapped,0
CALHM2,Unmapped,0
WBP1L,Unmapped,0
CNNM2,Unmapped,0
DARS,Mapped,13
ACMSD,Mapped,3
PCYT1A,Mapped,20
SLC51A,Mapped,20
TCTEX1D2,Mapped,3
ZDHHC19,Unmapped,0
RP11-704M14.1,Unmapped,0
UGT2B4,Mapped,6
MRPL9,Mapped,20
NBPF3,Unmapped,0
NBPF2P,Unmapped,0
ALPL,Mapped,18
PCMT1,Mapped,14
GINM1,Unmapped,0
KATNA1,Unmapped,0
LATS1,Mapped,18
RAET1G,Mapped,3
NUP43,Mapped,20
ULBP2,Mapped,3
LRP11,Unmapped,0
PPIL4,Mapped,20
LINC00853,Unmapped,0
FOXD2-AS1,Unmapped,0
TMPRSS11B,Unmapped,0
TMEM120A,Unmapped,0
ZP3,Mapped,20
TDRD9,Mapped,3
AMDHD1,Mapped,20
CCDC38,Unmapped,0
UGT1A9,Mapped,17
RECQL,Unmapped,0
C7orf43,Unmapped,0
ZSCAN21,Unmapped,0
LRCH4,Unmapped,0
EGLN2,Mapped,20
GINS1,Mapped,20
ABHD12,Mapped,20
NINL,Mapped,20
PYGB,Mapped,20
ENTPD6,Mapped,20
TYMP,Mapped,20
LMF2,Mapped,20
CHKB,Mapped,20
CTA-384D8.20,Unmapped,0
SCO2,Mapped,20
ODF3B,Unmapped,0
NCAPH2,Mapped,20
SLC13A3,Mapped,20
TP53RK,Mapped,20
PGAP3,Unmapped,0
PNMT,Mapped,20
ERBB2,Mapped,20
RP11-94L15.2,Unmapped,0
IKZF3,Unmapped,0
ORMDL3,Mapped,20
CCS,Mapped,20
ALDH1L1,Mapped,20
OPLAH,Mapped,20
GPAA1,Mapped,20
CYC1,Mapped,20
GRINA,Unmapped,0
KIAA1875,Unmapped,0
EXOSC4,Mapped,20
MAF1,Mapped,20
SHARPIN,Mapped,20
USMG5,Mapped,6
TXK,Mapped,20
TMEM144,Unmapped,0
NPL,Mapped,20
LAMC1,Mapped,20
DHX9,Mapped,20
SLC22A3,Mapped,20
FIS1,Mapped,20
CTB-161A2.3,Unmapped,0
PPP1R35,Unmapped,0
FIGNL1,Mapped,20
UGT2B11,Mapped,6
SLC35G2,Unmapped,0
GOT2,Mapped,20
KCNH2,Mapped,20
MTMR11,Unmapped,0
C1orf138,Unmapped,0
FAM89B,Unmapped,0
EHBP1L1,Unmapped,0
GGT1,Mapped,20
BCRP3,Unmapped,0
FAM211B,Unmapped,0
RP11-98D18.9,Unmapped,0
ATRAID,Unmapped,0
SLC5A6,Mapped,20
CAD,Mapped,20
ADAM10,Mapped,20
ENPP6,Mapped,20
TMEM194A,Unmapped,0
COQ10A,Mapped,20
RPL7A,Mapped,20
SLAIN2,Unmapped,0
RP11-288H12.3,Unmapped,0
GIMAP4,Unmapped,0
RP11-114M5.1,Unmapped,0
NSMAF,Mapped,20
FAM110B,Unmapped,0
SDCBP,Mapped,20
CYP7A1,Mapped,20
UBXN2B,Unmapped,0
TNKS,Mapped,20
NDUFA7,Mapped,20
KANK3,Unmapped,0
BBOX1,Mapped,20
CCDC34,Unmapped,0
LRRC73,Unmapped,0
TTC27,Unmapped,0
SLC38A7,Unmapped,0
TCIRG1,Mapped,20
ZNF662,Mapped,3
